"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORTDATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFFENSE_TYPE_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2018142181","01-MAR-18","01-MAR-18","01-MAR-18","11122 E 47TH AVE","3180303","1710429","5","511","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","montbello"
"2016542853","25-AUG-16","25-AUG-16","25-AUG-16","1710 N XENIA ST","3172804","1696513","2","223","2204","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","east-colfax"
"2016437413","11-JUL-16","11-JUL-16","11-JUL-16","7739 E COLFAX AVE","3169284","1695129","2","223","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","east-colfax"
"2018109937","15-FEB-18","","15-FEB-18","5353 N JOLIET ST","3179308","1714754","5","511","7399","PUBLIC ORDER CRIMES - OTHER","All Other Crimes","INDUSTRY","montbello"
"2015185623","05-APR-15","","05-APR-15","1500 E COLFAX AVE","3149211","1694820","6","622","2399","THEFT - OTHER","Larceny","INDUSTRY","cheesman-park"
"201842472","18-JAN-18","","18-JAN-18","4620 N PEORIA ST","3183815","1709739","5","521","1205","ROBBERY - STREET","Robbery-Street-Res","INDUSTRY","montbello"
"2016537093","09-AUG-16","","23-AUG-16","445 N FEDERAL BLVD","3133474","1688828","4","411","2399","THEFT - OTHER","Larceny","INDUSTRY","barnum"
"202065883","30-JAN-20","30-JAN-20","30-JAN-20","2426 S FEDERAL BLVD","3133762","1670216","4","422","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","college-view-south-platte"
"201856457","24-JAN-18","24-JAN-18","24-JAN-18","1055 S FOX ST","3142161","1679300","4","412","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","athmar-park"
"2018869703","17-DEC-18","21-DEC-18","27-DEC-18","1619 W 12TH AVE","3138175","1693265","1","123","2308","THEFT - FROM BLDG","Larceny","INDUSTRY","lincoln-park"
"2016464950","23-JUL-16","23-JUL-16","23-JUL-16","1355 S INCA ST","3141186","1677383","4","422","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","ruby-hill"
"202021112","10-JAN-20","","15-JAN-20","4745 W 38TH AVE","3126942","1705527","1","111","3560","DRUG - MARIJUANA SELL","Drug Offenses","INDUSTRY","berkeley"
"2015247779","05-MAY-15","05-MAY-15","05-MAY-15","777 N CANOSA CT","3134946","1690779","1","122","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","sun-valley"
"2015175385","31-MAR-15","31-MAR-15","31-MAR-15","760 E COLFAX AVE","3146795","1694778","6","623","1313","ASSAULT - DV","Simple Assault","NON-INDUSTRY","capitol-hill"
"202021420","10-JAN-20","","15-JAN-20","2117 LARIMER ST","3143046","1700065","6","612","3560","DRUG - MARIJUANA SELL","Drug Offenses","INDUSTRY","five-points"
"20166002989","28-MAR-16","28-MAR-16","29-MAR-16","4800 N NOME ST","3181976","1711226","5","511","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","montbello"
"201841843","18-JAN-18","","18-JAN-18","1736 N DOWNING ST","3148182","1696333","6","622","1316","THREATS TO INJURE","All Other Crimes","INDUSTRY","city-park-west"
"202031233","14-JAN-20","","14-JAN-20","3955 N ONEIDA ST","3166434","1706622","2","221","5212","WEAPON-POSS ILLEGAL/DANGEROUS","Weapons Offense","INDUSTRY","northeast-park-hill"
"2016318008","21-MAY-16","21-MAY-16","21-MAY-16","4707 N LIPAN ST","3139981","1710191","1","112","2303","THEFT - SHOPLIFT","Larceny","INDUSTRY","sunnyside"
"2015168475","27-MAR-15","27-MAR-15","28-MAR-15","543 N BRYANT ST","3135294","1689181","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","valverde"
"2016270384","01-MAY-16","01-MAY-16","01-MAY-16","4641 N CLAYTON ST","3153334","1709812","2","212","5707","CRIMINAL TRESPASSING","All Other Crimes","NON-INDUSTRY","elyria-swansea"
"2015594383","11-OCT-15","11-OCT-15","11-OCT-15","4750 N EAGLE ST","3191315","1710031","5","521","5213","WEAPON- UNLAWFUL DISCHARGE OF","Weapons Offense","NON-INDUSTRY","montbello"
"201820034","09-JAN-18","","09-JAN-18","1350 S SHERIDAN BLVD","3125828","1677226","4","421","2399","THEFT - OTHER","Larceny","INDUSTRY","mar-lee"
"2015357248","26-JUN-15","","26-JUN-15","1233 W ALAMEDA AVE","3140030","1684375","4","411","2399","THEFT - OTHER","Larceny","INDUSTRY","valverde"
"201552803","27-JAN-15","27-JAN-15","27-JAN-15","2940 N NIAGARA ST","3165802","1701967","2","221","2204","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","north-park-hill"
"2015486334","14-AUG-15","16-AUG-15","24-AUG-15","2645 S SANTA FE DR","3141468","1668820","3","313","2399","THEFT - OTHER","Larceny","INDUSTRY","overland"
"2018138546","27-FEB-18","27-FEB-18","27-FEB-18","5141 N FRANKLIN ST","3149177","1712959","1","112","1316","THREATS TO INJURE","All Other Crimes","INDUSTRY","elyria-swansea"
"2016193914","29-MAR-16","29-MAR-16","29-MAR-16","4012 W 38TH AVE","3129427","1705450","1","113","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","west-highland"
"2015706945","05-DEC-15","","05-DEC-15","N TAMARAC ST / E COLFAX AVE","3170067","1695048","2","223","2404","THEFT - OF MOTOR VEHICLE","Auto Theft","NON-INDUSTRY","east-colfax"
"201655300","26-JAN-16","26-JAN-16","26-JAN-16","4801 W COLFAX AVE","3126822","1694938","1","121","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","west-colfax"
"2016611035","19-SEP-16","19-SEP-16","23-SEP-16","1178 S KALAMATH ST","3140643","1678536","4","422","2399","THEFT - OTHER","Larceny","INDUSTRY","ruby-hill"
"2016585447","12-SEP-16","12-SEP-16","12-SEP-16","4935 N YORK ST","3151866","1711453","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"2018113603","16-FEB-18","","16-FEB-18","105 E 7TH AVE","3144669","1690249","6","623","1313","ASSAULT - SIMPLE","Simple Assault","INDUSTRY","capitol-hill"
"20194113","02-JAN-19","02-JAN-19","02-JAN-19","2748 W ALAMEDA AVE","3134512","1684158","4","412","2303","THEFT - SHOPLIFT","Larceny","NON-INDUSTRY","athmar-park"
"2015323968","10-JUN-15","10-JUN-15","11-JUN-15","2500 BLOCK CALIFORNIA ST","3146024","1699944","2","211","2305","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","NON-INDUSTRY","five-points"
"2016801990","17-DEC-16","17-DEC-16","17-DEC-16","3819 N QUENTIN ST","3184092","1705932","5","512","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","stapleton"
"201913786","02-JAN-19","02-JAN-19","07-JAN-19","1075 S FOX ST","3142162","1679212","4","412","2201","BURGLARY - SAFE","Burglary","INDUSTRY","athmar-park"
"2016103421","18-FEB-16","18-FEB-16","18-FEB-16","1640 E EVANS AVE","3149785","1672387","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","university"
"2015561946","26-SEP-15","26-SEP-15","27-SEP-15","2645 S SANTA FE DR","3141468","1668820","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
"2016212100","06-APR-16","06-APR-16","06-APR-16","6359 E EVANS AVE","3164786","1672602","3","322","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","virginia-village"
"2018184124","19-MAR-18","19-MAR-18","19-MAR-18","3435 S YOSEMITE ST","3173094","1663993","3","323","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","hampden"
"201588565","14-FEB-15","14-FEB-15","14-FEB-15","800 PARK AVE","","","9","999","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","five-points"
"2018309066","08-MAY-18","08-MAY-18","08-MAY-18","5109 W ALAMEDA AVE","3125931","1684434","4","411","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","barnum-west"
"2015188568","07-APR-15","07-APR-15","07-APR-15","5110 N RACE ST","3150881","1712463","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"2018158641","07-MAR-18","07-MAR-18","08-MAR-18","4414 N VINE ST","3151174","1708722","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"20174380","03-JAN-17","03-JAN-17","03-JAN-17","2020 S BROADWAY ST","3144349","1672869","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","platt-park"
"2015270723","11-MAY-15","","17-MAY-15","2020 S BROADWAY ST","3144349","1672869","3","313","2303","THEFT - SHOPLIFT","Larceny","INDUSTRY","platt-park"
"202059817","26-JAN-20","26-JAN-20","27-JAN-20","2268 S DELAWARE ST","3143012","1671321","3","313","2303","THEFT - SHOPLIFT","Larceny","INDUSTRY","overland"
"2015741465","22-DEC-15","","22-DEC-15","735 W BAYAUD AVE","3141360","1685867","3","311","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","baker"
"2016346720","03-JUN-16","","03-JUN-16","6359 E EVANS AVE","3164786","1672602","3","322","3560","DRUG - MARIJUANA SELL","Drug Offenses","INDUSTRY","virginia-village"
"201571370","06-FEB-15","06-FEB-15","06-FEB-15","2301 7TH ST","3136478","1699246","1","123","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","jefferson-park"
"2016646481","09-OCT-16","","09-OCT-16","2830 N HIGH ST","3150589","1701287","2","211","1315","AGGRAVATED ASSAULT","Agg ASLT-Firearm","NON-INDUSTRY","whittier"
"201513275","08-JAN-15","08-JAN-15","08-JAN-15","11101 E 51ST AVE","3180205","1713549","5","511","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","montbello"
"2015692242","27-NOV-15","","27-NOV-15","330 N FEDERAL BLVD","3133714","1688115","4","411","2303","THEFT - SHOPLIFT","Larceny","INDUSTRY","valverde"
"2016492570","04-AUG-16","04-AUG-16","04-AUG-16","2255 S KALAMATH ST","3140478","1671429","4","422","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","college-view-south-platte"
"2016810351","21-DEC-16","21-DEC-16","21-DEC-16","432 S BROADWAY ST","3144200","1683431","3","312","2303","THEFT - SHOPLIFT","Larceny","INDUSTRY","washington-park-west"
"201688926","08-FEB-16","08-FEB-16","11-FEB-16","1755 S BROADWAY ST","3144171","1674691","3","313","2399","THEFT - OTHER","Larceny","INDUSTRY","overland"
"2018147913","03-MAR-18","03-MAR-18","03-MAR-18","2383 S DOWNING ST","3148170","1670597","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","rosedale"
"201952220","22-JAN-19","22-JAN-19","23-JAN-19","1126 S SHERIDAN BLVD","3125821","1678730","4","421","2399","THEFT - OTHER","Larceny","INDUSTRY","mar-lee"
"2016374732","15-JUN-16","15-JUN-16","15-JUN-16","1955 S QUINCE ST","3168493","1673457","3","322","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","indian-creek"
"201880559","03-FEB-18","","03-FEB-18","1500 BLOCK STOUT ST","3142397","1696767","6","611","2399","THEFT - OTHER","Larceny","NON-INDUSTRY","cbd"
"201598053","19-FEB-15","","19-FEB-15","5141 N FRANKLIN ST","3148845","1712616","1","112","2399","THEFT - OTHER","Larceny","INDUSTRY","elyria-swansea"
"2017693957","16-OCT-17","16-OCT-17","16-OCT-17","6359 E EVANS AVE","3164786","1672602","3","322","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","virginia-village"
"2018177432","14-MAR-18","14-MAR-18","16-MAR-18","5077 N COLORADO BLVD","3156774","1712483","2","212","2308","THEFT - FROM BLDG","Larceny","INDUSTRY","elyria-swansea"
"2015664238","12-NOV-15","13-NOV-15","13-NOV-15","1498 N IVANHOE ST","3162683","1694921","2","222","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","montclair"
"2018123617","20-FEB-18","21-FEB-18","21-FEB-18","4430 N GARFIELD ST","3156321","1708804","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"2019109282","07-FEB-19","07-FEB-19","18-FEB-19","2145 W EVANS AVE","3137232","1672558","4","422","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","college-view-south-platte"
"2015155785","21-MAR-15","","21-MAR-15","3801 E 40TH AVE","3156781","1706981","2","212","1202","ROBBERY - BUSINESS","Robbery-Business","NON-INDUSTRY","elyria-swansea"
"2017528706","09-AUG-17","","09-AUG-17","10700 E DARTMOUTH AVE","3179718","1665260","3","323","2399","THEFT - OTHER","Larceny","NON-INDUSTRY","kennedy"
"2018183371","18-MAR-18","","18-MAR-18","4690 N BRIGHTON BLVD","3149975","1710084","2","212","5312","DISTURBING THE PEACE","All Other Crimes","INDUSTRY","elyria-swansea"
"2016233567","14-APR-16","15-APR-16","15-APR-16","6666 E STAPLETON S DR","3165497","1708664","2","221","2205","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","northeast-park-hill"
"201880858","02-FEB-18","03-FEB-18","03-FEB-18","4305 N BRIGHTON BLVD","3148956","1708556","2","212","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","elyria-swansea"
"2015365314","29-JUN-15","","30-JUN-15","E 37TH AVE / N FRANKLIN ST","3149432","1705119","2","211","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","cole"
"2015433441","31-JUL-15","","31-JUL-15","4975 N VASQUEZ BLVD","3155551","1711955","2","212","2303","THEFT - SHOPLIFT","Larceny","INDUSTRY","elyria-swansea"
"2015519245","08-SEP-15","08-SEP-15","08-SEP-15","2020 S BROADWAY ST","3144349","1672869","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","platt-park"
"2015720013","11-DEC-15","","11-DEC-15","1331 19TH ST","3142159","1699423","6","612","2999","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","union-station"
"2016616641","26-SEP-16","26-SEP-16","26-SEP-16","7289 E HAMPDEN AVE","3167907","1663479","3","323","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","hampden"
"2016485312","31-JUL-16","01-AUG-16","01-AUG-16","3481 S FENTON ST","3123917","1663364","4","423","2305","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","NON-INDUSTRY","bear-valley"
"201742028","19-JAN-17","","19-JAN-17","54 N LIPAN ST","3140258","1686675","3","311","2399","THEFT - OTHER","Larceny","INDUSTRY","baker"
"2016246875","20-APR-16","21-APR-16","21-APR-16","4500 N WASHINGTON ST","3146519","1708969","1","112","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","globeville"
"2015747230","26-DEC-15","26-DEC-15","26-DEC-15","4550 S KIPLING ST","3110151","1655944","4","423","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","marston"
"2018192750","21-MAR-18","21-MAR-18","22-MAR-18","4401 E 46TH AVE","3158434","1709764","2","221","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","northeast-park-hill"
"2015104173","22-FEB-15","23-FEB-15","23-FEB-15","800 PARK AVEW","3144849","1699351","6","621","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","five-points"
"2015222053","23-APR-15","23-APR-15","23-APR-15","1126 S SHERIDAN BLVD","3125821","1678730","4","421","2399","THEFT - OTHER","Larceny","INDUSTRY","mar-lee"
"2016324309","24-MAY-16","","24-MAY-16","12525 E ALBROOK DR","3184585","1710532","5","521","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","montbello"
"2015466541","15-AUG-15","15-AUG-15","15-AUG-15","16TH ST / BLAKE ST","3140818","1698657","6","612","1205","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","union-station"
"201878414","01-FEB-18","02-FEB-18","02-FEB-18","1920 S CHEROKEE ST","3143325","1673588","3","313","2203","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","overland"
